X,Y
3745.7275,404.2533
3752.8186,404.8573
3759.8423,405.4928
3766.7971,406.1611
3773.6816,406.8638
3780.4944,407.6023
3787.2344,408.378
3793.9036,409.1909
3800.5073,410.04
3807.0518,410.9239
3813.5422,411.8413
3819.9849,412.791
3826.3855,413.7718
3832.7495,414.7823
3839.0828,415.8213
3845.3911,416.8875
3851.6804,417.9796
3857.9563,419.0964
3864.2246,420.2366
3870.491,421.399
3876.761,422.5822
3883.041,423.7851
3889.3362,425.0063
3895.6526,426.2445
3901.9961,427.4986
3908.3721,428.7672
3914.7866,430.049
3921.2454,431.3428
3927.7539,432.6474
3934.3184,433.9614
3940.9441,435.2836
3947.6375,436.6127
3954.4036,437.9474
3961.2485,439.2866
3968.178,440.6289
3975.1975,441.973
3982.3135,443.3177
3989.531,444.6617
3996.8562,446.0037
4004.2947,447.3425
4011.8518,448.6769
4019.519,450.0067
4027.2751,451.3329
4035.0984,452.6566
4042.9666,453.9789
4050.8579,455.3006
4058.7505,456.6229
4066.6223,457.9469
4074.4517,459.2734
4082.2163,460.6037
4089.8945,461.9386
4097.4644,463.2793
4104.9043,464.6267
4112.1914,465.982
4119.3047,467.3461
4126.2222,468.72
4132.9214,470.1049
4139.3809,471.5017
4145.5786,472.9115
4151.4927,474.3353
4157.1011,475.7741
4162.3818,477.229
4167.3135,478.701
4171.873,480.1911
4176.04,481.7004
4179.7915,483.2299
4183.106,484.7807
4185.9614,486.3537
4188.3359,487.95
4190.2075,489.5707
4191.5542,491.2167
4192.3555,492.889
4192.6123,494.5861
4192.3477,496.3043
4191.5835,498.0396
4190.3428,499.7883
4188.6484,501.5466
4186.5234,503.3106
4183.9907,505.0765
4181.0732,506.8405
4177.793,508.5986
4174.1738,510.3472
4170.2383,512.0824
4166.0088,513.8004
4161.5083,515.4973
4156.7603,517.1692
4151.7866,518.8124
4146.6108,520.4231
4141.25,521.999
4135.7104,523.5406
4129.9966,525.0489
4124.1152,526.5248
4118.0703,527.9691
4111.8677,529.3828
4105.5122,530.7668
4099.0098,532.1219
4092.365,533.4491
4085.5837,534.7493
4078.6707,536.0234
4071.6313,537.2722
4064.4712,538.4967
4057.1951,539.6978
4049.8086,540.8763
4042.3167,542.0333
4034.7249,543.1695
4027.0383,544.2859
4019.2622,545.3834
4011.4019,546.4628
4003.4624,547.5251
3995.4495,548.5713
3987.3679,549.6021
3979.2231,550.6185
3971.0205,551.6213
3962.7651,552.6116
3954.4624,553.5901
3946.1174,554.5579
3937.7356,555.5157
3929.3218,556.4645
3920.8818,557.4052
3912.4207,558.3387
3903.9436,559.2659
3895.4558,560.1876
3886.9629,561.1049
3878.4695,562.0186
3869.9814,562.9296
3861.5037,563.8387
3853.041,564.7468
3844.594,565.6541
3836.1614,566.5603
3827.7424,567.4652
3819.3357,568.3687
3810.9404,569.2706
3802.5552,570.1706
3794.179,571.0687
3785.811,571.9645
3777.4497,572.858
3769.0942,573.749
3760.7434,574.6373
3752.3962,575.5226
3744.0515,576.4048
3735.7083,577.2838
3727.3652,578.1594
3719.0215,579.0312
3710.6758,579.8993
3702.3271,580.7633
3693.9744,581.6232
3685.6165,582.4786
3677.2522,583.3296
3668.8804,584.1758
3660.5002,585.017
3652.1106,585.8532
3643.7102,586.6841
3635.2981,587.5095
3626.873,588.3292
3618.4341,589.1431
3609.98,589.9509
3601.5098,590.7526
3593.0222,591.5479
3584.5164,592.3366
3575.991,593.1186
3567.4451,593.8936
3558.8774,594.6615
3550.2874,595.4221
3541.6731,596.1752
3533.0339,596.9206
3524.3689,597.6582
3515.6765,598.3877
3506.9561,599.1091
3498.2063,599.822
3489.426,600.5263
3480.6162,601.222
3471.7776,601.9092
3462.9119,602.5879
3454.0198,603.2581
3445.103,603.9198
3436.1624,604.5731
3427.1992,605.2181
3418.2148,605.8547
3409.2107,606.483
3400.1875,607.1031
3391.1467,607.7151
3382.0896,608.3188
3373.0173,608.9144
3363.9312,609.502
3354.832,610.0814
3345.7217,610.6528
3336.6011,611.2164
3327.4714,611.772
3318.3337,612.3196
3309.1897,612.8594
3300.04,613.3915
3290.8865,613.9157
3281.7297,614.4323
3272.5715,614.941
3263.4126,615.4423
3254.2544,615.9358
3245.0984,616.4218
3235.9453,616.9003
3226.7966,617.3712
3217.6536,617.8348
3208.5173,618.2909
3199.3892,618.7396
3190.2703,619.181
3181.1619,619.6151
3172.0652,620.042
3162.9812,620.4617
3153.9116,620.8741
3144.8574,621.2794
3135.8196,621.6777
3126.7998,622.0688
3117.7991,622.4531
3108.8184,622.8303
3099.8594,623.2006
3090.9229,623.5638
3082.0103,623.9204
3073.1228,624.2701
3064.2595,624.6129
3055.4192,624.9489
3046.6003,625.2777
3037.8018,625.5996
3029.022,625.9144
3020.2595,626.222
3011.5129,626.5225
3002.781,626.8156
2994.062,627.1013
2985.3552,627.3797
2976.6584,627.6506
2967.9709,627.9139
2959.2908,628.1697
2950.6169,628.4178
2941.948,628.6583
2933.2825,628.8909
2924.6189,629.1157
2915.9558,629.3325
2907.2922,629.5415
2898.6262,629.7424
2889.9568,629.9352
2881.2825,630.1199
2872.6016,630.2963
2863.9131,630.4645
2855.2156,630.6244
2846.5076,630.7759
2837.7874,630.9189
2829.054,631.0534
2820.3059,631.1793
2811.5417,631.2966
2802.76,631.4052
2793.9595,631.5051
2785.1387,631.5961
2776.2961,631.6782
2767.4304,631.7514
2758.5403,631.8156
2749.6243,631.8707
2740.6812,631.9167
2731.7092,631.9535
2722.7073,631.9811
2713.6741,631.9993
2704.6077,632.0082
2695.5073,632.0076
2686.3713,631.9975
2677.1987,631.978
2667.9907,631.9495
2658.7483,631.9122
2649.4719,631.8668
2640.1633,631.8135
2630.823,631.7529
2621.4521,631.6852
2612.0515,631.611
2602.6226,631.5306
2593.166,631.4445
2583.6831,631.3529
2574.1743,631.2565
2564.6414,631.1556
2555.0847,631.0505
2545.5054,630.9418
2535.9048,630.8298
2526.2837,630.715
2516.6431,630.5977
2506.9839,630.4783
2497.3071,630.3574
2487.614,630.2352
2477.9055,630.1123
2468.1824,629.989
2458.4458,629.8657
2448.6968,629.7428
2438.9363,629.6208
2429.1653,629.5001
2419.385,629.3811
2409.5962,629.2642
2399.8,629.1498
2389.9973,629.0383
2380.1892,628.9302
2370.3767,628.8258
2360.5608,628.7256
2350.7427,628.63
2340.9229,628.5394
2331.1028,628.4542
2321.2834,628.3748
2311.4656,628.3016
2301.6501,628.2351
2291.8386,628.1757
2282.0317,628.1237
2272.2305,628.0796
2262.4355,628.0438
2252.6487,628.0167
2242.8704,627.9988
2233.1016,627.9904
2223.3435,627.992
2213.5972,628.0039
2203.863,628.0264
2194.1414,628.0593
2184.4319,628.1022
2174.7344,628.1549
2165.0491,628.2172
2155.3757,628.2886
2145.7141,628.3691
2136.0645,628.4583
2126.4263,628.5558
2116.7996,628.6616
2107.1843,628.7753
2097.5806,628.8965
2087.988,629.0251
2078.4067,629.1608
2068.8367,629.3032
2059.2773,629.4522
2049.729,629.6074
2040.1915,629.7687
2030.6647,629.9355
2021.1484,630.1079
2011.6428,630.2854
2002.1475,630.4678
1992.6626,630.6548
1983.1879,630.8462
1973.7234,631.0416
1964.2688,631.2408
1954.8243,631.4435
1945.3896,631.6495
1935.9647,631.8585
1926.5494,632.0702
1917.1438,632.2843
1907.7477,632.5005
1898.3608,632.7186
1888.9833,632.9384
1879.615,633.1595
1870.2559,633.3817
1860.9056,633.6046
1851.5643,633.8281
1842.2319,634.0519
1832.9082,634.2756
1823.5931,634.499
1814.2866,634.7218
1804.9885,634.9438
1795.6987,635.1647
1786.4172,635.3842
1777.1439,635.6021
1767.8787,635.818
1758.6213,636.0317
1749.3719,636.2429
1740.1298,636.4515
1730.8947,636.6572
1721.666,636.86
1712.4435,637.0594
1703.2267,637.2554
1694.015,637.4479
1684.8081,637.6364
1675.6057,637.821
1666.4071,638.0013
1657.212,638.1774
1648.0199,638.3488
1638.8306,638.5154
1629.6433,638.6771
1620.4578,638.8335
1611.2736,638.9847
1602.0903,639.1302
1592.9075,639.2701
1583.7246,639.404
1574.5414,639.5317
1565.3573,639.6532
1556.1719,639.7682
1546.9847,639.8765
1537.7954,639.9778
1528.6035,640.072
1519.4086,640.1589
1510.2102,640.2385
1501.0081,640.3103
1491.8014,640.3743
1482.5901,640.4302
1473.3735,640.4778
1464.1512,640.517
1454.9231,640.5476
1445.6882,640.5694
1436.4467,640.5822
1427.1975,640.5857
1417.9407,640.5798
1408.6755,640.5643
1399.4019,640.5391
1390.1189,640.5038
1380.8265,640.4584
1371.5242,640.4026
1362.2113,640.3363
1352.8877,640.2592
1343.5527,640.1711
1334.2062,640.072
1324.8473,639.9615
1315.4763,639.8396
1306.0935,639.7064
1296.6993,639.5622
1287.2944,639.4069
1277.879,639.2408
1268.4536,639.064
1259.0189,638.8767
1249.5751,638.679
1240.1228,638.4709
1230.6625,638.2528
1221.1946,638.0248
1211.7196,637.7869
1202.2379,637.5392
1192.7501,637.2821
1183.2567,637.0155
1173.7579,636.7397
1164.2545,636.4548
1154.7467,636.1609
1145.2351,635.8582
1135.7202,635.5468
1126.2025,635.2269
1116.6823,634.8986
1107.1602,634.562
1097.6366,634.2173
1088.1119,633.8647
1078.5869,633.5042
1069.0618,633.1361
1059.537,632.7604
1050.0132,632.3773
1040.4907,631.9871
1030.97,631.5897
1021.4517,631.1853
1011.936,630.7741
1002.4237,630.3563
992.915,629.9319
983.4106,629.5012
973.9108,629.0641
964.416,628.6211
954.9269,628.172
945.4438,627.7172
935.9673,627.2567
926.4978,626.7906
917.0358,626.3192
907.5816,625.8425
898.1359,625.3608
888.6991,624.8741
879.2716,624.3826
869.8539,623.8865
860.4477,623.3857
851.0568,622.8805
841.6856,622.3707
832.3382,621.8564
823.0189,621.3376
813.7319,620.8144
804.4814,620.2866
795.2717,619.7543
786.1069,619.2177
776.9914,618.6764
767.9294,618.1307
758.925,617.5807
749.9825,617.0262
741.1063,616.4673
732.3004,615.9039
723.569,615.3362
714.9166,614.764
706.3472,614.1875
697.8651,613.6066
689.4746,613.0214
681.1798,612.4318
672.985,611.8378
664.8945,611.2395
656.9124,610.6369
649.043,610.03
641.2905,609.4187
633.6592,608.8032
626.1533,608.1833
618.777,607.5593
611.5345,606.9309
604.4301,606.2983
597.468,605.6615
590.6525,605.0204
583.9877,604.3751
577.478,603.7255
571.1274,603.0718
564.9404,602.4138
558.921,601.7517
553.0735,601.0853
547.4022,600.4149
541.9111,599.7402
536.5956,599.0618
531.4392,598.3806
526.4249,597.6974
521.5353,597.0133
516.7534,596.3292
512.062,595.646
507.4438,594.9646
502.8817,594.2861
498.3584,593.6113
493.8569,592.9412
489.3598,592.2766
484.8501,591.6187
480.3105,590.9683
475.7238,590.3264
471.0728,589.6938
466.3405,589.0717
461.5095,588.4608
456.5627,587.8621
451.4828,587.2766
446.2528,586.7052
440.8554,586.1488
435.2734,585.6085
429.4897,585.0851
423.487,584.5795
417.2482,584.0928
410.7587,583.6256
404.023,583.1769
397.0542,582.7448
389.8652,582.3272
382.4691,581.9225
374.879,581.5288
367.1078,581.144
359.1686,580.7665
351.0745,580.3943
342.8385,580.0255
334.4735,579.6583
325.9927,579.2906
317.4091,578.9208
308.7356,578.547
299.9854,578.1671
291.1715,577.7794
282.3069,577.382
273.4046,576.973
264.4777,576.5505
255.5392,576.1127
246.6022,575.6576
237.6796,575.1835
228.7845,574.6883
219.93,574.1703
211.129,573.6276
202.3947,573.0582
193.74,572.4603
185.178,571.8322
176.7217,571.1717
168.3841,570.4771
160.1783,569.7465
152.1173,568.9781
144.2142,568.1699
136.4819,567.32
128.9336,566.4267
121.5822,565.4879
114.4408,564.502
107.5224,563.4668
100.84,562.3806
94.4067,561.2416
88.2356,560.0478
82.3358,558.798
76.6996,557.4939
71.3144,556.1382
66.1677,554.7334
61.247,553.2821
56.5396,551.787
52.0331,550.2504
47.7149,548.6752
43.5724,547.0638
39.593,545.4188
35.7643,543.7428
32.0737,542.0384
28.5086,540.3082
25.0565,538.5547
21.7047,536.7805
18.4409,534.9883
15.2523,533.1806
12.1266,531.36
9.051,529.5291
6.0131,527.6903
3.0003,525.8464
0,524
