 ,Area,Mean,Min,Max,X,Y,Slice
1,0,20.663,20.663,20.663,350.333,2253.000,30
2,0,13.882,13.882,13.882,314.333,2257.667,31
3,0,145.371,145.371,145.371,308.333,2297.667,27
4,0,163.750,163.750,163.750,341.000,2292.333,26
5,0,74.026,74.026,74.026,300.333,2305.000,15
6,0,64.533,64.533,64.533,338.333,2283.000,11
7,0,181.877,181.877,181.877,268.333,2279.667,13
8,0,74.962,74.962,74.962,302.333,2239.667,12
9,0,111.103,111.103,111.103,351.000,2216.333,12
10,0,86.641,86.641,86.641,300.333,2198.333,19
11,0,190.737,190.737,190.737,269.667,2203.667,19
12,0,155.953,155.953,155.953,257.667,2208.333,19
13,0,84.101,84.101,84.101,241.000,2210.333,19
14,0,250.000,250.000,250.000,290.333,2195.000,19
15,0,105.846,105.846,105.846,311.667,2195.000,19
16,0,247.774,247.774,247.774,323.667,2185.667,19
17,0,202.160,202.160,202.160,337.000,2185.667,19
18,0,29.734,29.734,29.734,271.667,2232.333,18
19,0,133.049,133.049,133.049,262.333,2221.000,15
20,0,32.427,32.427,32.427,271.667,2257.000,15
21,0,60.133,60.133,60.133,359.667,2218.333,18
22,0,200.957,200.957,200.957,241.667,2209.667,22
23,0,110.113,110.113,110.113,259.000,2209.667,22
24,0,67.698,67.698,67.698,274.333,2203.000,22
25,0,83.017,83.017,83.017,299.000,2197.667,22
26,0,45.070,45.070,45.070,327.000,2185.000,22
27,0,166.784,166.784,166.784,339.667,2191.667,22
28,0,232.880,232.880,232.880,356.333,2187.000,22
29,0,46.637,46.637,46.637,324.333,2291.000,23
30,0,59.397,59.397,59.397,263.000,2229.000,23
31,0,43.294,43.294,43.294,263.667,2261.000,23
32,0,108.439,108.439,108.439,332.333,2197.667,26
33,0,109.690,109.690,109.690,267.000,2222.333,28
34,0,69.819,69.819,69.819,267.000,2247.667,27
35,0,70.537,70.537,70.537,216.333,2301.667,26
36,0,87.069,87.069,87.069,234.333,2281.000,25
37,0,81.115,81.115,81.115,245.000,2267.000,23
38,0,87.939,87.939,87.939,247.000,2288.333,21
39,0,137.143,137.143,137.143,234.333,2290.333,21
40,0,87.333,87.333,87.333,225.000,2281.000,17
41,0,173.710,173.710,173.710,248.333,2269.667,19
42,0,67.311,67.311,67.311,214.333,2238.333,28
43,0,186.471,186.471,186.471,187.667,2242.333,28
44,0,135.082,135.082,135.082,154.333,2248.333,28
45,0,155.963,155.963,155.963,123.667,2255.667,28
46,0,105.304,105.304,105.304,168.333,2248.333,27
47,0,100.668,100.668,100.668,145.000,2255.000,26
48,0,126.125,126.125,126.125,184.333,2255.000,23
49,0,113.238,113.238,113.238,195.000,2255.000,23
50,0,74.139,74.139,74.139,202.333,2245.667,23
51,0,83.007,83.007,83.007,214.333,2247.000,25
52,0,129.241,129.241,129.241,192.333,2264.333,25
53,0,189.532,189.532,189.532,83.000,2269.000,23
54,0,104.138,104.138,104.138,101.667,2266.333,23
55,0,252.000,252.000,252.000,84.333,2281.000,23
56,0,161.178,161.178,161.178,97.667,2279.667,23
57,0,62.374,62.374,62.374,273.000,2203.667,24
58,0,94.002,94.002,94.002,373.000,2249.000,12
59,0,173.127,173.127,173.127,421.000,2249.000,13
60,0,59.096,59.096,59.096,457.000,2269.000,13
61,0,85.275,85.275,85.275,498.000,2248.000,13
62,0,109.858,109.858,109.858,434.000,2184.000,13
63,0,252.000,252.000,252.000,161.000,2244.000,16
64,0,179.755,179.755,179.755,164.000,2254.000,16
65,0,252.000,252.000,252.000,106.000,2258.000,16
66,0,236.386,236.386,236.386,178.000,2256.000,16
67,0,140.150,140.150,140.150,180.000,2239.000,16
68,0,234.888,234.888,234.888,192.000,2241.000,16
69,0,175.393,175.393,175.393,196.000,2254.000,16
70,0,249.524,249.524,249.524,180.000,2247.000,16
71,0,250.729,250.729,250.729,209.000,2243.000,16
72,0,212.886,212.886,212.886,223.000,2245.000,16
73,0,91.251,91.251,91.251,148.000,2262.000,18
74,0,116.454,116.454,116.454,196.000,2244.000,21
75,0,141.955,141.955,141.955,215.000,2252.000,21
76,0,89.735,89.735,89.735,186.000,2273.000,21
77,0,86.406,86.406,86.406,156.000,2257.000,21
78,0,223.363,223.363,223.363,174.000,2293.000,21
79,0,143.152,143.152,143.152,192.000,2298.000,21
80,0,206.171,206.171,206.171,150.000,2292.000,21
81,0,147.413,147.413,147.413,138.000,2288.000,21
82,0,241.467,241.467,241.467,119.000,2282.000,21
83,0,91.177,91.177,91.177,117.000,2264.000,21
84,0,211.107,211.107,211.107,95.000,2277.000,21
85,0,173.429,173.429,173.429,84.000,2282.000,21
86,0,149.466,149.466,149.466,35.000,2259.000,21
87,0,101.310,101.310,101.310,162.000,2279.000,23
88,0,203.423,203.423,203.423,142.000,2255.000,25
89,0,136.375,136.375,136.375,176.000,2244.000,27
90,0,242.841,242.841,242.841,189.000,2243.000,27
