X,Y,Z
1649.582085,528.4656906,13
1303.826605,576.5724555,13
1686.098929,573.5424151,12
1841.314912,560.9212039,12
1833.423369,508.248876,12
1914.519582,591.3265499,11
1416.801179,598.8503543,19
1627.030813,612.6734273,19
1813.770117,618.7845738,19
1694.214673,465.6420319,19
1514.010969,518.3373643,19
1260.347563,468.1690783,19
1233.566007,405.0384463,14
1236.403887,373.8630642,15
1213.999505,371.899048,17
1179.936044,373.6319718,17
1355.523149,366.1266969,15
1396.162996,413.340103,15
1411.648789,401.2480175,18
1408.936644,432.4031631,18
1414.899965,463.4958255,18
1455.339931,394.5965034,20
1455.163256,447.2492471,20
1531.695056,460.5544911,18
1621.797712,376.7103541,17
1671.464237,416.8329494,17
1624.877921,407.7978718,18
1433.626893,370.9240123,14
1453.653005,364.670697,14
1508.096942,369.8926193,14
1550.39506,372.8656547,14
1567.818372,372.6345872,14
1618.335012,367.1226517,14
1682.725312,359.1852708,14
1857.913072,354.7282642,14
1893.279433,355.5490284,14
1702.167108,398.4605356,14
1721.027046,428.120396,14
1508.398815,429.7327596,14
1489.074823,451.5271333,14
1442.783274,433.1262354,14
1444.373438,407.8473837,14
1485.160754,432.5138323,15
1468.465918,393.1187539,15
1488.559131,386.8925128,15
1602.537352,397.2987656,15
1812.786066,406.6887231,16
1929.034744,372.891241,11
1961.044628,368.9666381,11
2076.863117,365.6704676,11
2193.096514,360.2588545,12
2215.82415,357.7575202,12
2008.652993,374.500375,13
2065.090305,426.7211712,13
2074.357156,474.6527907,13
2084.502196,485.4127516,13
2074.043501,562.1704276,13
2136.335979,520.9671935,13
2063.306687,504.6237914,13
2328.300473,608.9684787,19
2337.165865,553.7749969,21
2579.372059,348.8419846,14
2681.265231,341.6664514,14
2752.866542,333.3329638,14
2820.823627,330.9993223,14
2875.623241,328.6936518,14
2837.692304,335.8061259,13
2856.746535,332.2321633,13
2917.112539,340.7194249,13
2940.324043,343.1506163,13
2954.447711,346.7230634,13
3014.375115,348.0790054,11
3040.99752,349.3524301,11
2918.23771,540.7669515,29
2996.354297,429.4918464,30
2662.099,582.4476078,32
2564.122449,494.950093,34
3121.283002,353.6872623,13
3197.389439,355.103326,15
3240.082335,350.4699779,17
3274.358531,354.1521822,18
3293.478173,357.7987827,18
3187.523942,452.1798436,26
3201.537994,393.5020455,23
3175.895516,386.2291214,23
3194.424879,375.4755347,23
3175.737155,355.0049632,25
3092.924828,346.4819088,27
3176.279885,514.3903818,31
3192.558018,390.9490809,33
3115.722667,370.4162622,33
3344.45326,397.4884132,34
3550.332317,462.8511202,34
3625.910088,463.0824737,34
3377.3975,488.605068,36
3284.248403,465.5806672,36
3259.60395,420.03431,36
3191.648172,458.1205838,36
3542.877332,524.4653561,9
3556.005987,540.0522257,9
3633.996401,534.3519236,9
3668.910864,496.1932648,9
3671.211761,521.2647642,9
3531.485478,466.9147625,10
3569.905881,389.1899694,12
3660.143624,557.29789,11
3752.43198,501.169038,10
3752.388067,531.2378728,10
3461.906343,428.3970516,16
3529.241308,443.0080006,16
3596.862734,430.0118169,16
3690.505176,439.9291501,16
3752.506214,473.6728454,18
3501.139123,372.194509,18
3530.339312,375.8856669,18
3545.490634,378.3494397,18
3567.000472,380.8210862,18
3597.473817,385.7118445,18
3612.753749,388.1466579,18
3659.593673,393.0956426,16
3744.525612,404.1613902,16
3803.636784,457.0699968,13
3832.261318,416.3074337,13
3902.031412,424.9943317,13
3926.141015,426.254923,13
3953.064095,431.0751285,13
3968.48612,438.3367681,13
3883.688152,439.3102975,17
3851.025531,503.8965831,11
3862.647505,480.0118925,11
3888.059038,482.4330175,11
3923.810408,492.1412605,12
3997.954964,446.8234159,12
4012.381963,457.6169975,12
4010.713632,479.1204836,12
4033.527688,446.8923517,13
3823.81761,425.9200936,11
3957.800463,518.5152136,22
3818.222472,537.3793998,25
3767.128265,551.5762078,25
3731.673642,489.1306053,28
3737.041065,526.3561564,28
3693.194135,534.587432,28
3666.680592,412.1990711,28
3433.152779,495.4285334,29
3487.446995,405.694661,29
3562.825996,397.5140548,25
3564.511419,379.5764933,25
3482.224539,373.3652684,24
3884.840138,434.4861305,20
3992.395015,436.0300791,18
4014.106099,436.0257203,18
4039.508911,438.5152596,18
4038.260816,499.6691506,19
4045.163289,482.8275561,19
3729.413099,463.9839865,34
3817.443021,457.0852331,34
3855.587865,494.310209,34
3779.779576,523.9799,34
3683.45358,512.985215,34
3689.871004,484.265037,34
3446.011241,472.6956324,35
4076.706941,486.5478662,9
4108.858129,485.998359,9
4079.266073,467.9734362,14
4091.846566,467.9974995,14
4107.980375,468.57504,14
4104.781957,462.6592096,15
4099.685457,470.6789734,15
4120.093417,470.1078035,15
4136.936373,467.10228,15
4168.80901,468.4155475,15
4042.787918,439.0789598,15
4161.121985,467.8324645,17
4184.347671,469.5960156,18
4200.829229,459.7844726,18
4203.169215,475.9531979,18
4078.423124,465.8713558,16
4081.583597,473.5614577,16
4106.002383,474.8619926,19
4112.857188,481.4733627,19
4135.336993,493.7612362,21
4141.545686,480.6245451,21
4068.363321,475.4176348,22
4046.96105,478.3237832,24
4074.182276,493.9451632,24
4086.865861,499.6998865,24
4080.81669,506.9039144,24
4061.012412,452.839717,24
4077.468549,450.9100952,24
4096.276439,449.7137322,24
4097.116817,462.0197048,24
4103.950603,455.6506138,24
4114.301267,462.0131087,24
4123.308826,455.7468709,24
4128.717682,447.674904,24
4152.382323,450.4255403,24
4143.594749,483.613207,25
4157.325572,477.9679305,25
4170.999242,471.3633813,25
4108.551979,492.322475,26
4090.914578,466.7521404,27
4136.982487,463.57831,20
4182.877401,479.8513546,22
4194.389808,474.73001,22
4204.614576,472.0154115,22
