 ,Area,Mean,Min,Max,X,Y,Slice
152,0,6,6,6,3620.806,536.913,12
153,0,16,16,16,3590.604,419.463,12
154,0,45,45,45,3550.335,550.336,12
155,0,70,70,70,3533.557,580.537,12
156,0,42,42,42,3516.779,506.711,12
157,0,42,42,42,3486.577,489.933,12
158,0,57,57,57,3476.510,510.067,12
159,0,31,31,31,3469.799,489.933,12
160,0,84,84,84,3449.665,506.711,12
161,0,72,72,72,3439.598,479.866,12
162,0,29,29,29,3422.819,503.356,12
163,0,84,84,84,3395.973,483.221,12
164,0,86,86,86,3345.638,486.577,12
165,0,48,48,48,3328.859,486.577,12
166,0,64,64,64,3305.369,483.221,12
167,0,51,51,51,3288.591,510.067,12
168,0,29,29,29,3288.591,479.866,12
169,0,61,61,61,3248.322,500,12
170,0,96,96,96,3221.477,500,12
171,0,72,72,72,3194.631,486.577,12
172,0,54,54,54,3161.074,489.933,12
173,0,23,23,23,3275.168,392.617,12
174,0,21,21,21,2973.154,560.403,12
175,0,78,78,78,2976.510,506.711,12
176,0,12,12,12,2909.396,570.470,12
177,0,91,91,91,2892.617,563.758,12
178,0,21,21,21,2909.396,506.711,12
179,0,14,14,14,2902.685,372.483,12
180,0,86,86,86,2798.658,573.826,12
181,0,19,19,19,2805.369,493.289,12
182,0,39,39,39,2791.946,496.644,12
183,0,43,43,43,2765.101,570.470,12
184,0,83,83,83,2738.255,506.711,12
185,0,58,58,58,2748.322,459.732,12
186,0,5,5,5,2731.543,483.221,12
187,0,19,19,19,2724.833,459.732,12
188,0,40,40,40,2711.410,463.087,12
189,0,21,21,21,2694.631,473.154,12
190,0,27,27,27,2684.564,456.376,12
191,0,18,18,18,2661.074,533.557,12
192,0,13,13,13,2664.430,557.047,12
193,0,44,44,44,2644.295,557.047,12
194,0,59,59,59,2637.584,520.134,12
195,0,29,29,29,2617.450,526.846,12
196,0,30,30,30,2617.450,560.403,12
197,0,8,8,8,2583.893,486.577,12
198,0,55,55,55,2580.537,500,12
199,0,54,54,54,2570.470,513.423,12
200,0,39,39,39,2550.335,516.779,12
201,0,14,14,14,2563.758,500,12
202,0,55,55,55,2563.758,479.866,12
203,0,47,47,47,2543.624,489.933,12
204,0,39,39,39,2533.557,516.779,12
205,0,23,23,23,2536.913,536.913,12
206,0,25,25,25,2510.067,466.443,12
207,0,70,70,70,2503.356,493.289,12
208,0,80,80,80,2496.645,469.799,12
209,0,6,6,6,2479.866,463.087,12
